id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
497,135154,EFE,285.0,2025-09-05,True,False,True,CONTEXTO_RESERVACION,,MEDIO,20,"noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 497 (folio 135154, cód EFE, monto 285.00): [CONTEXTO_RESERVACION] — noches_inconsistentes: cargo=0, reserva=3.0"
462,139291,PROPTI,-58.08,2025-11-04,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MYB'",BAJO,0,,"Alerta tx 462 (folio 139291, cód PROPTI, monto -58.08): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MYB'"
463,103189,PROPTI,-58.08,2024-08-24,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR'",BAJO,0,,"Alerta tx 463 (folio 103189, cód PROPTI, monto -58.08): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR'"
879,5237,TRANSF,10347.5,2021-05-21,True,False,False,,"USUARIO_MODIFICACION: creado por 'IVL', modificado por 'KJG' (monto alto)",BAJO,0,,"Alerta tx 879 (folio 5237, cód TRANSF, monto 10347.50): | ctx: USUARIO_MODIFICACION: creado por 'IVL', modificado por 'KJG' (monto alto)"
42,146899,EFE,2810.0,2026-02-08,True,False,False,,"USUARIO_MODIFICACION: creado por 'SN2', modificado por 'AQX' (monto alto)",BAJO,0,,"Alerta tx 42 (folio 146899, cód EFE, monto 2810.00): | ctx: USUARIO_MODIFICACION: creado por 'SN2', modificado por 'AQX' (monto alto)"
577,2431,PROPTI,48.0,2021-04-06,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RFR'",BAJO,0,,"Alerta tx 577 (folio 2431, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RFR'"
337,6367,RENHAB,1986.5,2021-06-10,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'",BAJO,0,,"Alerta tx 337 (folio 6367, cód RENHAB, monto 1986.50): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'"
260,30944,PROPTI,24.0,2022-06-06,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RRN'",BAJO,0,,"Alerta tx 260 (folio 30944, cód PROPTI, monto 24.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RRN'"
611,22185,PROPTI,-48.0,2022-02-13,True,False,False,,"USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'",BAJO,0,,"Alerta tx 611 (folio 22185, cód PROPTI, monto -48.00): | ctx: USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'"
773,116893,RENHAB,-1924.88,2025-03-04,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'",BAJO,0,,"Alerta tx 773 (folio 116893, cód RENHAB, monto -1924.88): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'"
1170,9825,PROPTI,48.0,2021-08-01,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'KJG'",BAJO,0,,"Alerta tx 1170 (folio 9825, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'KJG'"
179,120526,RENHAB,1763.52,2025-04-09,True,False,False,,"USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RFR'",BAJO,0,,"Alerta tx 179 (folio 120526, cód RENHAB, monto 1763.52): | ctx: USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RFR'"
305,136176,PROPTI,58.08,2025-09-18,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MYB'",BAJO,0,,"Alerta tx 305 (folio 136176, cód PROPTI, monto 58.08): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'MYB'"
951,6971,RENHAB,-2299.0,2021-06-18,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'",BAJO,0,,"Alerta tx 951 (folio 6971, cód RENHAB, monto -2299.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'RFR'"
607,77197,RENHAB,-2377.2,2023-11-23,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG'",BAJO,0,,"Alerta tx 607 (folio 77197, cód RENHAB, monto -2377.20): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG'"
347,121779,RENHAB,541.92,2025-04-21,True,False,False,,"USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RM2'",BAJO,0,,"Alerta tx 347 (folio 121779, cód RENHAB, monto 541.92): | ctx: USUARIO_MODIFICACION: creado por 'DOB', modificado por 'RM2'"
10,27070,RENCOM,0.04,2022-04-19,True,False,True,CONTEXTO_RESERVACION,,MEDIO,20,"noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 10 (folio 27070, cód RENCOM, monto 0.04): [CONTEXTO_RESERVACION] — noches_inconsistentes: cargo=0, reserva=3.0"
790,37693,RENHAB,-1772.04,2022-08-17,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'EGT'",BAJO,0,,"Alerta tx 790 (folio 37693, cód RENHAB, monto -1772.04): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'EGT'"
676,37968,PEREXT,1574.0,2022-08-19,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'",BAJO,0,,"Alerta tx 676 (folio 37968, cód PEREXT, monto 1574.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'"
238,47883,PROPTI,12.0,2023-01-24,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'",BAJO,0,,"Alerta tx 238 (folio 47883, cód PROPTI, monto 12.00): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'"
530,3908,AJPEXT,954.0,2021-04-29,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'FJL'",BAJO,0,,"Alerta tx 530 (folio 3908, cód AJPEXT, monto 954.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'FJL'"
