id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
589,24921,PROPTI,72.0,2022-03-22,True,False,False,,"USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'",BAJO,0,,"Alerta tx 589 (folio 24921, cód PROPTI, monto 72.00): | ctx: USUARIO_MODIFICACION: creado por 'AGH', modificado por 'EGT'"
816,143109,RENHAB,5305.84,2025-12-26,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=5305.84, z=3.88 (umbral ±2.0) para código 'RENHAB'","Alerta tx 816 (folio 143109, cód RENHAB, monto 5305.84): [MONTO_ATIPICO] — monto_atipico: monto_abs=5305.84, z=3.88 (umbral ±2.0) para código 'RENHAB'"
1019,92617,PROPTI,-29.04,2024-05-10,True,False,False,,"USUARIO_MODIFICACION: creado por 'VN2', modificado por 'CMG'",BAJO,0,,"Alerta tx 1019 (folio 92617, cód PROPTI, monto -29.04): | ctx: USUARIO_MODIFICACION: creado por 'VN2', modificado por 'CMG'"
690,78144,PROPTI,52.8,2023-12-09,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'",MEDIO,25,folio_alto_ratio_cancelaciones: 100% de movimientos cancelados,"Alerta tx 690 (folio 78144, cód PROPTI, monto 52.80): [CANCELACION_SOSPECHOSA] — folio_alto_ratio_cancelaciones: 100% de movimientos cancelados — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'"
748,132713,PROPTI,58.08,2025-08-09,True,False,False,,"USUARIO_MODIFICACION: creado por 'DOB', modificado por 'CEV'",BAJO,0,,"Alerta tx 748 (folio 132713, cód PROPTI, monto 58.08): | ctx: USUARIO_MODIFICACION: creado por 'DOB', modificado por 'CEV'"
224,75801,PROPTI,52.8,2023-11-08,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'",BAJO,0,,"Alerta tx 224 (folio 75801, cód PROPTI, monto 52.80): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'"
371,47330,PROPTI,12.0,2023-01-16,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'",BAJO,0,,"Alerta tx 371 (folio 47330, cód PROPTI, monto 12.00): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'NGA'"
294,41181,PROPTI,96.0,2022-10-08,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=96.00, z=2.41 (umbral ±2.0) para código 'PROPTI'","Alerta tx 294 (folio 41181, cód PROPTI, monto 96.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=96.00, z=2.41 (umbral ±2.0) para código 'PROPTI'"
610,89504,PROPTI,58.08,2024-04-11,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'",BAJO,0,,"Alerta tx 610 (folio 89504, cód PROPTI, monto 58.08): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CEV'"
180,96339,MENEXT,1200.98,2024-06-16,True,True,False,CANCELACION_SOSPECHOSA | CONTEXTO_RESERVACION,,MEDIO,45,"cancelacion_monto_alto: monto cancelado=1200.98 | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 180 (folio 96339, cód MENEXT, monto 1200.98): [CANCELACION_SOSPECHOSA | CONTEXTO_RESERVACION] — cancelacion_monto_alto: monto cancelado=1200.98; noches_inconsistentes: cargo=0, reserva=3.0"
74,124189,CANXFA,500.0,2025-05-13,True,False,True,CONTEXTO_RESERVACION,,MEDIO,20,sin_reservacion_en_codigo_habitual: código 'CANXFA',"Alerta tx 74 (folio 124189, cód CANXFA, monto 500.00): [CONTEXTO_RESERVACION] — sin_reservacion_en_codigo_habitual: código 'CANXFA'"
717,126086,RENHAB,4712.84,2025-05-31,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=4712.84, z=3.15 (umbral ±2.0) para código 'RENHAB'","Alerta tx 717 (folio 126086, cód RENHAB, monto 4712.84): [MONTO_ATIPICO] — monto_atipico: monto_abs=4712.84, z=3.15 (umbral ±2.0) para código 'RENHAB'"
