id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
548,111462,RENHAB,5778.36,2024-12-31,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=5778.36, z=4.46 (umbral ±2.0) para código 'RENHAB'","Alerta tx 548 (folio 111462, cód RENHAB, monto 5778.36): [MONTO_ATIPICO] — monto_atipico: monto_abs=5778.36, z=4.46 (umbral ±2.0) para código 'RENHAB'"
104,125897,CANXFA,4590.0,2025-05-29,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2025-05-29, check-out=2025-05-28","Alerta tx 104 (folio 125897, cód CANXFA, monto 4590.00): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2025-05-29, check-out=2025-05-28"
164,124302,RESDEP,43260.0,2025-05-18,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=43260.00, z=4.39 (umbral ±2.0) para código 'RESDEP'","Alerta tx 164 (folio 124302, cód RESDEP, monto 43260.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=43260.00, z=4.39 (umbral ±2.0) para código 'RESDEP'"
350,59459,RENHAB,0.0,2023-05-24,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 350 (folio 59459, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
527,7381,RENHAB,4004.06,2021-06-25,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=4004.06, z=2.28 (umbral ±2.0) para código 'RENHAB'","Alerta tx 527 (folio 7381, cód RENHAB, monto 4004.06): [MONTO_ATIPICO] — monto_atipico: monto_abs=4004.06, z=2.28 (umbral ±2.0) para código 'RENHAB'"
614,74726,PROPTI,105.6,2023-10-28,True,True,False,MONTO_ATIPICO | CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'JLS', modificado por 'RM2'",ALTO,50,"monto_atipico: monto_abs=105.60, z=2.85 (umbral ±2.0) para código 'PROPTI' | cancelacion_monto_alto: monto cancelado=105.60","Alerta tx 614 (folio 74726, cód PROPTI, monto 105.60): [MONTO_ATIPICO | CANCELACION_SOSPECHOSA] — monto_atipico: monto_abs=105.60, z=2.85 (umbral ±2.0) para código 'PROPTI'; cancelacion_monto_alto: monto cancelado=105.60 — | ctx: USUARIO_MODIFICACION: creado por 'JLS', modificado por 'RM2'"
685,1959,PROPTI,-72.0,2021-04-02,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'FJL', modificado por 'RFR'",MEDIO,25,cancelacion_monto_alto: monto cancelado=72.00,"Alerta tx 685 (folio 1959, cód PROPTI, monto -72.00): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=72.00 — | ctx: USUARIO_MODIFICACION: creado por 'FJL', modificado por 'RFR'"
72,58881,CANXFA,17640.0,2024-10-22,True,True,False,MONTO_ATIPICO | CONTEXTO_RESERVACION,,MEDIO,45,"monto_atipico: monto_abs=17640.00, z=3.55 (umbral ±2.0) para código 'CANXFA' | sin_reservacion_en_codigo_habitual: código 'CANXFA'","Alerta tx 72 (folio 58881, cód CANXFA, monto 17640.00): [MONTO_ATIPICO | CONTEXTO_RESERVACION] — monto_atipico: monto_abs=17640.00, z=3.55 (umbral ±2.0) para código 'CANXFA'; sin_reservacion_en_codigo_habitual: código 'CANXFA'"
19,87095,CANXFA,11793.65,2024-03-21,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2024-03-21, check-out=2024-03-20 | noches_inconsistentes: cargo=0, reserva=4.0","Alerta tx 19 (folio 87095, cód CANXFA, monto 11793.65): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2024-03-21, check-out=2024-03-20; noches_inconsistentes: cargo=0, reserva=4.0"
253,41002,RENHAB,0.0,2022-10-04,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'","Alerta tx 253 (folio 41002, cód RENHAB, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'"
