id_transaccion,folio,codigo,monto,fecha,es_anomalia,cluster_anomalia,nivel_riesgo,mensaje_alerta,reglas_activadas,score_riesgo
274,8010,PROPTI,12.0,2021-07-06,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 274 (folio 8010, código PROPTI, monto 12.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'MCC', modificado por ''","usuario_mod_distinto: creado por 'MCC', modificado por ''",15
135,8919,PROPTI,48.0,2021-07-20,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 135 (folio 8919, código PROPTI, monto 48.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
254,59463,PROPTI,52.8,2023-05-23,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 254 (folio 59463, código PROPTI, monto 52.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'JLS', modificado por ''","usuario_mod_distinto: creado por 'JLS', modificado por ''",15
420,27135,PROPTI,12.0,2022-04-19,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 420 (folio 27135, código PROPTI, monto 12.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
497,135154,EFE,285.0,2025-09-05,True,CONTEXTO_RESERVACION,MEDIO,"Alerta en transacción 497 (folio 135154, código EFE, monto 285.00): [CONTEXTO_RESERVACION] — noches_inconsistentes: cargo=0, reservación=3.0","noches_inconsistentes: cargo=0, reservación=3.0",20
362,104986,RENHAB,1953.92,2024-09-30,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 362 (folio 104986, código RENHAB, monto 1953.92): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'AQX', modificado por ''","usuario_mod_distinto: creado por 'AQX', modificado por ''",15
254,132857,PROPTI,58.08,2025-08-14,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 254 (folio 132857, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'DOB', modificado por ''","usuario_mod_distinto: creado por 'DOB', modificado por ''",15
382,DEP103,TRANSF,14559.0,2021-03-11,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 382 (folio DEP103, código TRANSF, monto 14559.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'IVL', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'IVL', modificado por '' (monto alto)",15
25,80082,TARCRE,6476.62,2024-01-01,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 25 (folio 80082, código TARCRE, monto 6476.62): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'NO0', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'NO0', modificado por '' (monto alto)",15
322,89987,RENHAB,2272.89,2024-04-13,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 322 (folio 89987, código RENHAB, monto 2272.89): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
