nodo,n,score_mean,rule_score_mean,severidad_mean,cat_top,cats_unicas,degree
cube71_cluster4,5,0.6285329768843708,160.0,3.0,DUPLICADO,1,3
cube72_cluster2,5,0.6285329768843708,160.0,3.0,DUPLICADO,1,3
cube83_cluster2,5,0.6285329768843708,160.0,3.0,DUPLICADO,1,3
cube84_cluster2,5,0.6285329768843708,160.0,3.0,DUPLICADO,1,3
cube59_cluster10,3,0.6233453648621136,130.0,3.0,MONTO_ATIPICO,1,3
cube60_cluster3,3,0.6233453648621136,130.0,3.0,MONTO_ATIPICO,1,3
cube71_cluster8,3,0.6233453648621136,130.0,3.0,MONTO_ATIPICO,1,3
cube72_cluster4,3,0.6233453648621136,130.0,3.0,MONTO_ATIPICO,1,3
cube98_cluster1,10,0.6121931565110671,90.0,3.0,DUPLICADO,1,3
cube99_cluster1,10,0.6121931565110671,90.0,3.0,DUPLICADO,1,3
cube109_cluster1,10,0.6121931565110671,90.0,3.0,DUPLICADO,1,3
cube110_cluster0,10,0.6121931565110671,90.0,3.0,DUPLICADO,1,3
cube94_cluster1,475,0.6055903863816806,132.85263157894738,3.0,DUPLICADO,2,3
cube95_cluster2,475,0.6055903863816806,132.85263157894738,3.0,DUPLICADO,2,3
cube99_cluster0,40,0.6043233704791072,64.375,3.0,DUPLICADO,3,3
cube109_cluster0,278,0.6038120813167697,54.89208633093525,3.0,FUERA_DE_ESTANCIA,4,3
cube108_cluster0,360,0.6031460449028616,55.361111111111114,3.0,FUERA_DE_ESTANCIA,4,5
cube120_cluster0,1546,0.6018221533231041,44.02975420439845,2.0,CANCELACION_SOSPECHOSA,4,5
cube98_cluster0,1311,0.6018124653054375,60.95728451563692,3.0,DUPLICADO,5,7
cube121_cluster0,2214,0.6017265335043506,42.13640469738031,2.0,CANCELACION_SOSPECHOSA,4,5
cube103_cluster2,16,0.601696426946836,35.0,2.0,FUERA_DE_ESTANCIA,1,3
cube113_cluster0,1568,0.601451837541443,43.45663265306123,2.0,CANCELACION_SOSPECHOSA,5,8
cube122_cluster1,791,0.6012819735652268,38.57142857142857,2.0,FUERA_DE_ESTANCIA,4,3
cube107_cluster1,82,0.6008880190118074,56.951219512195124,3.0,FUERA_DE_ESTANCIA,1,3
cube97_cluster0,2638,0.6007429008787895,62.51895375284306,3.0,FUERA_DE_ESTANCIA,5,8
cube114_cluster0,2917,0.6006474153759973,37.10833047651697,2.0,CANCELACION_SOSPECHOSA,5,9
cube107_cluster5,5,0.6006372946601533,125.0,3.0,DUPLICADO,1,3
cube108_cluster3,5,0.6006372946601533,125.0,3.0,DUPLICADO,1,3
cube117_cluster3,5,0.6006372946601533,125.0,3.0,DUPLICADO,1,3
cube118_cluster2,5,0.6006372946601533,125.0,3.0,DUPLICADO,1,3
cube88_cluster0,157,0.6003297976399945,60.47770700636943,3.0,DUPLICADO,4,5
cube107_cluster3,10,0.6001936456213406,90.0,3.0,DUPLICADO,1,3
cube108_cluster2,10,0.6001936456213406,90.0,3.0,DUPLICADO,1,3
cube117_cluster2,10,0.6001936456213406,90.0,3.0,DUPLICADO,1,3
cube118_cluster1,10,0.6001936456213406,90.0,3.0,DUPLICADO,1,3
cube112_cluster0,123,0.6000694711299274,43.00813008130081,2.0,MONTO_ATIPICO,4,3
cube119_cluster0,123,0.6000694711299274,43.00813008130081,2.0,MONTO_ATIPICO,4,3
cube96_cluster0,1398,0.5996334658336051,64.32403433476395,3.0,FUERA_DE_ESTANCIA,4,7
cube87_cluster0,1621,0.599293294756262,63.42381246144355,3.0,DUPLICADO,5,10
cube86_cluster0,4058,0.5992397856935713,70.57540660423854,3.0,DUPLICADO,5,8
cube85_cluster0,3585,0.5990939335135994,79.11854951185495,3.0,DUPLICADO,4,8
cube115_cluster0,1938,0.5989996139134351,28.71001031991744,2.0,CANCELACION_SOSPECHOSA,5,7
cube76_cluster0,117,0.5989644735924345,59.14529914529915,3.0,DUPLICADO,4,3
cube95_cluster5,12,0.5982883233046721,65.0,3.0,DUPLICADO,1,3
cube96_cluster3,12,0.5982883233046721,65.0,3.0,DUPLICADO,1,3
cube106_cluster2,12,0.5982883233046721,65.0,3.0,DUPLICADO,1,3
cube107_cluster4,12,0.5982883233046721,65.0,3.0,DUPLICADO,1,3
cube104_cluster0,2294,0.5976971752234862,22.044463818657366,2.0,CONTEXTO_RESERVACION,4,9
cube93_cluster0,1510,0.597378251373479,21.70860927152318,2.0,CONTEXTO_RESERVACION,4,5
cube105_cluster0,3016,0.5972253021025338,21.883289124668433,2.0,CONTEXTO_RESERVACION,4,8
cube94_cluster0,1835,0.5968856019893738,21.623978201634877,2.0,CONTEXTO_RESERVACION,4,5
cube116_cluster0,466,0.5966538142241515,21.98497854077253,2.0,CONTEXTO_RESERVACION,3,3
cube92_cluster1,442,0.5962856012858372,20.90497737556561,2.0,CONTEXTO_RESERVACION,3,3
cube103_cluster0,495,0.5961646449770271,21.0,2.0,CONTEXTO_RESERVACION,3,5
cube106_cluster0,1233,0.5959795890294746,21.399026763990268,2.0,CONTEXTO_RESERVACION,3,5
cube84_cluster0,2069,0.5958673064912928,107.99661672305461,3.0,DUPLICADO,4,12
cube75_cluster0,588,0.5958130057662145,64.88945578231292,3.0,DUPLICADO,4,7
cube64_cluster1,10,0.5955880681924614,90.0,3.0,DUPLICADO,1,1
cube76_cluster2,10,0.5955880681924614,90.0,3.0,DUPLICADO,1,1
cube95_cluster0,767,0.5955699554692144,21.043024771838333,2.0,CONTEXTO_RESERVACION,3,3
cube117_cluster0,156,0.594360660574727,0.0,2.0,ATIPICO_IF,1,3
cube122_cluster0,1039,0.5942545778337838,0.0,2.0,ATIPICO_IF,1,3
cube123_cluster0,1404,0.5941981069514535,0.0,2.0,ATIPICO_IF,1,5
cube124_cluster0,365,0.5940373583302446,0.0,2.0,ATIPICO_IF,1,3
cube83_cluster1,1074,0.5936418308227538,122.1973929236499,3.0,DUPLICADO,3,5
cube74_cluster0,2767,0.5934492010712478,84.05131911817853,3.0,DUPLICADO,4,11
cube116_cluster1,556,0.5930940256170646,0.0,2.0,ATIPICO_IF,1,5
cube73_cluster0,4135,0.5930224997588267,90.1136638452237,3.0,DUPLICADO,4,8
cube115_cluster1,400,0.5926000379835762,0.0,2.0,ATIPICO_IF,1,3
cube95_cluster6,31,0.5913232230128261,75.48387096774194,3.0,DUPLICADO,3,3
cube16_cluster1,12,0.5896222221855056,65.0,3.0,DUPLICADO,1,3
cube17_cluster1,12,0.5896222221855056,65.0,3.0,DUPLICADO,1,3
cube27_cluster1,12,0.5896222221855056,65.0,3.0,DUPLICADO,1,3
cube28_cluster2,12,0.5896222221855056,65.0,3.0,DUPLICADO,1,3
cube76_cluster3,24,0.5876818730582114,65.0,3.0,DUPLICADO,1,3
cube88_cluster1,24,0.5876818730582114,65.0,3.0,DUPLICADO,1,3
cube18_cluster0,18,0.5858703394070482,90.0,3.0,DUPLICADO,1,3
